sample_id,pathway_name,max_prob,mean_prob,n_pairs,partners,directions,rank
ALk1pre,CypA,3.027204873102726e-4,6.811923737911044e-5,36,Activated B cells; CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34- CD71lo GlyA+; Erythroid_CD34+ CD71+ GlyA-; gdT; Hematopoietic stem cells_CD133+ CD34dim; MAIT; Mature B cells class able to switch; Mature B cells class switched; Naive B cells; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC; PlasmaCells; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,3
ALk1pre,APP,2.6262158092740947e-4,2.2747648573486883e-5,56,Activated B cells; CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34+ CD71+ GlyA-; gdT; Granulocytes (Neutrophilic Metamyelocytes); Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; MAIT; Mature B cells class able to switch; Mature B cells class switched; Megakaryocytes; Naive B cells; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC; PlasmaCells; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,4
ALk1pre,MK,1.642058923337217e-4,1.4800719402472624e-5,87,Activated B cells; CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34- CD71lo GlyA+; Erythroid_CD34+ CD71+ GlyA-; gdT; Granulocytes (Neutrophilic Metamyelocytes); Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; MAIT; Mature B cells class able to switch; Mature B cells class switched; Megakaryocytes; Naive B cells; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC; PlasmaCells; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,5
ALk1pre,CLEC,1.1732014695192908e-4,4.4213518134734016e-5,8,CD4_CM; CD4_EM; CD8_EM; CD8_Naive; CD8_TEMRA; gdT; MAIT; NK cells_CD56-_CD16+_cytotoxic_terminal,Plasma->Immune,6
ALk1pre,BAFF,1.0811797939009503e-4,2.012636938754723e-5,42,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; Colony Forming Unit-Granulocytes; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34+ CD71+ GlyA-; Granulocytes (Neutrophilic Metamyelocytes); Hematopoietic stem cells_CD133+ CD34dim; Megakaryocytes; NK cells_CD56-_CD16+_cytokine; pDC,Immune->Plasma,7
ALk1pre,GALECTIN,1.0184408817249899e-4,2.6650370665924414e-5,24,Activated B cells; CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA+; Erythroid_CD34+ CD71+ GlyA-; Hematopoietic stem cells_CD133+ CD34dim; Mature B cells class able to switch; Mature B cells class switched; Naive B cells; NK cells_CD56-_CD16+_cytokine; pDC,Immune->Plasma,8
ALk1pre,PECAM2,7.582661162870527e-5,1.6216339685624184e-5,22,Activated B cells; CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD8_Naive; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34+ CD71+ GlyA-; gdT; Hematopoietic stem cells_CD133+ CD34dim; Mature B cells class able to switch; Megakaryocytes; NK cells_CD56-_CD16+_cytokine; pDC; PlasmaCells,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,9
ALk1pre,ADGRE,5.9377531227538674e-5,5.025477791019472e-6,72,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD4_Naive; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; Common myeloid progenitors; Erythroid_CD34- CD71+ GlyA-; Erythroid_CD34+ CD71+ GlyA-; gdT; Granulocytes (Neutrophilic Metamyelocytes); Granulocytes (Neutrophils); Hematopoietic stem cells_CD133+ CD34dim; MAIT; Mature B cells class able to switch; Mature B cells class switched; Naive B cells; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC; PlasmaCells; Treg,Immune->Plasma; Plasma->Immune; Plasma<->Plasma,10
ALk1pre,CD99,4.130708183545078e-5,1.9237914652138407e-5,44,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_neutrophil-like2; CD14 Mono_dendritic-like1; CD16 Mono; CD4_CM; CD4_EM; CD8_CM; CD8_EM; CD8_Naive; CD8_TEMRA; Common myeloid progenitors; Erythroid_CD34+ CD71+ GlyA-; gdT; Hematopoietic stem cells_CD133+ CD34dim; Megakaryocytes; NK cells_CD56-_CD16+_cytokine; NK cells_CD56-_CD16+_cytotoxic_terminal; pDC,Immune->Plasma; Plasma->Immune,11
ALk1pre,APRIL,3.5120645037278015e-5,1.3078074792529191e-05,18,CD14 Mono_neutrophil-like1; CD14 Mono_dendritic-like2; CD14 Mono_dendritic-like1; CD16 Mono; Common myeloid progenitors; Erythroid_CD34+ CD71+ GlyA-; Hematopoietic stem cells_CD133+ CD34dim; NK cells_CD56-_CD16+_cytokine; pDC,Immune->Plasma,12
